Model Name,Description,Display As,String Type,String Count,Node Count,Light Count,Est Current (Amps),Channels Per Node, Channel Count,Start Channel,Start Channel No,End Channel No,Default Buffer W x H,Preview,Controller Connection,Controller Type,Controller Description,Output,IP,Baud,Universe/Id,Controller Channel,Inactive
" EVERYTHING Group","Big Pixel Tree, Big Tree Multi, Bushes1Rainbow1Red, Bushes1Rainbow2Orn, Bushes1Rainbow3Grn, Bushes1Rainbow4Blu, Bushes1Rainbow5Vio, Bushes2Left1Multi, Bushes2Left2Wht, Bushes3Low, Bushes4Center1Red, Bushes4Center2Grn, Bushes4Center3Blu, Bushes4Center4Wht, Bushes5Drwy1Pink, Bushes5Drwy2Wht, Bushes6Right1Red, Bushes6Right2Grn, Bushes6Right3Blu, Bushes6Right4Wht, Bushes6Right5Vio, Bushes6Right6Multi, C9Chase1R, C9Chase2G, C9Chase3B, C9Chase4W, CandyCane01-R1, CandyCane02-G2, CandyCane03-R3, CandyCane04-G4, CandyCane05-R1, CandyCane06-G2, CandyCane07-R3, CandyCane08-G4, CandyCane09-R1, CandyCane10-G2, CandyCane11-R3, CandyCane12-G4, CandyCane13-R1, CandyCane14-G2, CandyCane15-R3, CandyCane16-G4, CandyCane17-R1, CandyCane18-G2, CandyCane19-R3, CandyCane20-G4, CandyCane21-R1, CandyCane22-G2, Carollers, Countdown, Deer1, Deer2, Disco Ball L, Disco Ball R, EavePix1LHoriz, EavePix2LDiag, EavePix3RDiag, EavePix4RHoriz, Fence1LeftSide, Fence2LeftFrontCorn, Fence3FrontLeftCorn, Fence4Front, Fence5Diagonal, Fence6RightDrway, Festivus Pole Flood, HappyHolidays, LampPost, LaserDots, LaserDots-2, Mailbox_Main, Mailbox_MiniWicker, MailboxLights, MasterPower1, MasterPower2, Menorah, Nativity, NativityStar, Peace Sign, Penguins, Presents, RainbowArch1Red, RainbowArch2Orn, RainbowArch3Yel, RainbowArch4Grn, RainbowArch5Blu, RainbowArch6Vio, Ridgeline Left, Ridgeline Right, Santa in the Window, Security Lights, Snowfall, SnowflakesL, SnowflakesR, Snowglobe, SnowLake, Snowman(New), Spiral Tree 1 Front, Spiral Tree 2 Right, Spiral Tree 3 Back, Spiral Tree 4 Left, Streetlight Laser, Swirlies Oak, Tinsel Tree Left, Tinsel Tree Right, Tiny Tree Blue, Tomato Tree A1B, Tomato Tree A1G, Tomato Tree A1R, Tomato Tree A1W, Tomato Tree A2B, Tomato Tree A2G, Tomato Tree A2R, Tomato Tree A2W, Tomato Tree A3B, Tomato Tree A3G, Tomato Tree A3R, Tomato Tree A3W, Tomato Tree A4B, Tomato Tree A4G, Tomato Tree A4R, Tomato Tree A4W, Tomato Tree A5B, Tomato Tree A5G, Tomato Tree A5R, Tomato Tree A5W, Tomato Tree A6B, Tomato Tree A6G, Tomato Tree A6R, Tomato Tree A6W, Tomato Tree A7B, Tomato Tree A7G, Tomato Tree A7R, Tomato Tree A7W, Tomato Tree A8B, Tomato Tree A8G, Tomato Tree A8R, Tomato Tree A8W, Tomato Tree B1P, Tomato Tree B1W, Tomato Tree B2P, Tomato Tree B2W, Tomato Tree B3P, Tomato Tree B3W, Tomato Tree B4P, Tomato Tree B4W, Tomato Tree B5P, Tomato Tree B5W, Tomato Tree B6P, Tomato Tree B6W, Tomato Tree B7P, Tomato Tree B7W, Tomato Tree B8P, Tomato Tree B8W, UFO LeftL, UFO LeftR, UFO RightL, UFO RightR, UFO TopCenterL, UFO TopCenterR, WreathGrn1, WreathGrn3, WreathGrn4, WreathGrn6, WreathRed2, WreathRed5, YuleLog","ModelGroup",,,,,,,3473,,1,3473,400 x 105,Default,,,,,,,,
"Big Pixel Tree","","Tree","RGB Nodes",1,300,300,18.00,3,900,#10.3.7.188:10:1,2574,3473,1 x 300,Forest,,E131,"APixTreeTop",12,10.3.7.188,,10,1,FALSE
"Big Tree Multi","","Tree","Single Color Custom",1,1,300,,1,1,25,25,25,1 x 300,Forest,,LOR Optimised,"LOR Enhanced 2-6",2,/dev/ttyUSB1,512000 baud,7,9,FALSE
"Bushes 1 Rainbow Group","Bushes1Rainbow1Red, Bushes1Rainbow2Orn, Bushes1Rainbow3Grn, Bushes1Rainbow4Blu, Bushes1Rainbow5Vio","ModelGroup",,,,,,,5,,73,77,7 x 9,Bushes,,,,,,,,
"Bushes 2 Left Group","Bushes2Left1Multi, Bushes2Left2Wht","ModelGroup",,,,,,,2,,33,34,186 x 50,Bushes,,,,,,,,
"Bushes 4 Center Group","Bushes4Center1Red, Bushes4Center2Grn, Bushes4Center3Blu, Bushes4Center4Wht","ModelGroup",,,,,,,4,,49,52,334 x 16,Bushes,,,,,,,,
"Bushes 5 Driveway Group","Bushes5Drwy1Pink, Bushes5Drwy2Wht","ModelGroup",,,,,,,2,,11,12,50 x 95,Bushes,,,,,,,,
"Bushes 6 ALL Right Group","Bushes6Right1Red, Bushes6Right2Grn, Bushes6Right3Blu, Bushes6Right4Wht, Bushes6Right5Vio, Bushes6Right6Multi","ModelGroup",,,,,,,6,,69,74,13 x 90,Bushes,,,,,,,,
"Bushes 6 Right RGBW Group","Bushes6Right3Blu, Bushes6Right2Grn, Bushes6Right1Red, Bushes6Right4Wht","ModelGroup",,,,,,,4,,69,72,13 x 90,Bushes,,,,,,,,
"Bushes White Group","Bushes2Left2Wht, Bushes4Center4Wht, Bushes5Drwy2Wht, Bushes6Right4Wht","ModelGroup",,,,,,,61,,12,72,400 x 54,Bushes,,,,,,,,
