Model Name,Shadowing,Description,Display As,Dimensions,String Type,String Count,Node Count,Light Count,Est Current (Amps),Channels Per Node, Channel Count,Start Channel,Start Channel No,#Universe(or id):Start Channel,End Channel No,Default Buffer W x H,Preview,Controller Ports,Connection Protocol,Connection Attributes,Controller Name,Controller Type,Protocol,Controller Description,IP,Baud,Universe/Id,Universe Channel,Controller Channel,Active
"All Lights",,"Bushes, Religious Group, Snow Group, Forest Groups Group, Oddballs Group, Swirlies Spinny Group (M)","ModelGroup",,,,,,,,,,,,,400 x 126,Default
"Amplifier 12V","","","Single Line","Length 0.00in","Single Color Custom",1,1,1,,1,1,154,154,#2:26,154,1 x 1,"Default",0,,,"APix16 DMX Output 2 Right Yard",HolidayCoro AlphaPix 16,E131,"AC & DC Controllers in the Garage & Right Yard",10.3.12.16,,2,26,26,
"Big Festive Wreath (RG)",,"Wreath Leaves (G), Wreath Berries (R)","ModelGroup",,,,,,,,,,,,,48 x 49,Default
"Big Nick Inside (W)","","","Image","Width 80.05in Height 108.06in","Single Color White",1,1,2,,1,1,201,201,#2:73,201,1 x 1,"Default",0,dmx,,"APix16 DMX Output 2 Right Yard",HolidayCoro AlphaPix 16,E131,"AC & DC Controllers in the Garage & Right Yard",10.3.12.16,,2,73,73,
"Bushes",,"Bushes 1 {S} Rainbow (ROGBV), Bushes 2 {L} (MWO), Bushes 3 {C} (RGBW), Bushes 4 {D} (PW), Bushes 5 {R} RGBW Group (RGBW), Bushes 5 {R} (RGBWVM)","ModelGroup",,,,,,,,,,,,,400 x 90,Default
"Bushes 1 {S} Rainbow (ROGBV)",,"Bushes 1 {S} Rainbow 1 (R), Bushes 1 {S} Rainbow 2 (O), Bushes 1 {S} Rainbow 3 (G), Bushes 1 {S} Rainbow 4 (B), Bushes 1 {S} Rainbow 5 (V)","ModelGroup",,,,,,,,,,,,,25 x 22,Default
"Bushes 1 {S} Rainbow 1 (R)","","","Tree","Width 8.49in Height 17.68in Depth 19.56in","Single Color Red",1,1,100,,1,1,65,65,#1:65,65,1 x 1,"Default",0,dmx,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,65,65,
"Bushes 1 {S} Rainbow 2 (O)","","","Tree","Width 8.49in Height 17.68in Depth 19.56in","Single Color Custom",1,1,100,,1,1,@Bushes 1 {S} Rainbow 1 (R):1,65,#1:65,65,1 x 1,"Default",0,dmx,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,65,65,
"Bushes 1 {S} Rainbow 3 (G)","","","Tree","Width 8.49in Height 17.68in Depth 19.56in","Single Color Green",1,1,100,,1,1,@Bushes 1 {S} Rainbow 1 (R):1,65,#1:65,65,1 x 1,"Default",0,dmx,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,65,65,
"Bushes 1 {S} Rainbow 4 (B)","","","Tree","Width 8.49in Height 17.68in Depth 19.56in","Single Color Blue",1,1,100,,1,1,@Bushes 1 {S} Rainbow 1 (R):1,65,#1:65,65,1 x 1,"Default",0,dmx,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,65,65,
